INSERT INTO LGINVOICE VALUES (960, '30-APR-11', 458, 29.18, 83792);
INSERT INTO LGINVOICE VALUES (3010, '30-NOV-11', 1260, 366.24, 83677);
INSERT INTO LGINVOICE VALUES (3012, '01-DEC-11', 1261, 340.06, 83820);
INSERT INTO LGINVOICE VALUES (3013, '01-DEC-11', 692, 85.93, 83936);
INSERT INTO LGINVOICE VALUES (3014, '01-DEC-11', 859, 11.18, 84191);
INSERT INTO LGINVOICE VALUES (3015, '01-DEC-11', 1262, 110.97, 84248);
INSERT INTO LGINVOICE VALUES (3016, '01-DEC-11', 487, 41.18, 84106);
INSERT INTO LGINVOICE VALUES (3018, '02-DEC-11', 1264, 143.96, 83850);
INSERT INTO LGINVOICE VALUES (3019, '02-DEC-11', 967, 341.86, 83677);
INSERT INTO LGINVOICE VALUES (3020, '02-DEC-11', 1176, 13.59, 83820);
INSERT INTO LGINVOICE VALUES (3021, '02-DEC-11', 431, 374.21, 83763);
INSERT INTO LGINVOICE VALUES (3022, '02-DEC-11', 1072, 34.77, 83705);
INSERT INTO LGINVOICE VALUES (3024, '02-DEC-11', 1207, 181.92, 83705);
INSERT INTO LGINVOICE VALUES (3025, '02-DEC-11', 598, 384.38, 83537);
INSERT INTO LGINVOICE VALUES (3026, '02-DEC-11', 826, 70.48, 83677);
INSERT INTO LGINVOICE VALUES (3027, '02-DEC-11', 1084, 294.88, 84334);
INSERT INTO LGINVOICE VALUES (3028, '03-DEC-11', 1124, 235.83, 84392);
INSERT INTO LGINVOICE VALUES (3030, '03-DEC-11', 221, 158.32, 84364);
INSERT INTO LGINVOICE VALUES (3031, '03-DEC-11', 174, 148.44, 84334);
INSERT INTO LGINVOICE VALUES (3032, '03-DEC-11', 869, 111.95, 83537);
INSERT INTO LGINVOICE VALUES (3033, '03-DEC-11', 1266, 128.73, 83878);
INSERT INTO LGINVOICE VALUES (3034, '03-DEC-11', 675, 276.1, 83705);
INSERT INTO LGINVOICE VALUES (3036, '03-DEC-11', 1107, 77.97, 83593);
INSERT INTO LGINVOICE VALUES (3037, '03-DEC-11', 647, 257.94, 83878);
INSERT INTO LGINVOICE VALUES (3038, '04-DEC-11', 455, 363.83, 83964);
INSERT INTO LGINVOICE VALUES (3039, '04-DEC-11', 1268, 18.78, 84219);
INSERT INTO LGINVOICE VALUES (3040, '04-DEC-11', 1269, 268.82, 84306);
INSERT INTO LGINVOICE VALUES (3042, '04-DEC-11', 1271, 129.93, 83850);
INSERT INTO LGINVOICE VALUES (3043, '04-DEC-11', 265, 191.89, 83763);
INSERT INTO LGINVOICE VALUES (3044, '04-DEC-11', 1153, 229.45, 83850);
INSERT INTO LGINVOICE VALUES (3045, '05-DEC-11', 1223, 66.95, 84364);
INSERT INTO LGINVOICE VALUES (3046, '05-DEC-11', 947, 65.97, 83763);
INSERT INTO LGINVOICE VALUES (3048, '05-DEC-11', 768, 101.96, 84021);
INSERT INTO LGINVOICE VALUES (3049, '05-DEC-11', 1273, 300.13, 84134);
INSERT INTO LGINVOICE VALUES (3050, '05-DEC-11', 1039, 232.42, 83878);
INSERT INTO LGINVOICE VALUES (3051, '05-DEC-11', 1248, 414.47, 84334);
INSERT INTO LGINVOICE VALUES (3052, '05-DEC-11', 329, 197.9, 83878);
INSERT INTO LGINVOICE VALUES (3054, '06-DEC-11', 555, 260.48, 83705);
INSERT INTO LGINVOICE VALUES (3055, '06-DEC-11', 848, 264.48, 84134);
INSERT INTO LGINVOICE VALUES (3056, '06-DEC-11', 561, 19.99, 84106);
INSERT INTO LGINVOICE VALUES (3057, '06-DEC-11', 1274, 3.49, 83621);
INSERT INTO LGINVOICE VALUES (3058, '06-DEC-11', 126, 636.21, 83537);
INSERT INTO LGINVOICE VALUES (3060, '06-DEC-11', 333, 336.51, 84049);
INSERT INTO LGINVOICE VALUES (3061, '06-DEC-11', 1210, 65.97, 84078);
INSERT INTO LGINVOICE VALUES (3062, '06-DEC-11', 1188, 167.87, 84334);
INSERT INTO LGINVOICE VALUES (3063, '06-DEC-11', 1276, 100.95, 83593);
INSERT INTO LGINVOICE VALUES (3064, '07-DEC-11', 1277, 196.52, 84334);
INSERT INTO LGINVOICE VALUES (3066, '07-DEC-11', 1278, 315.2, 84191);
INSERT INTO LGINVOICE VALUES (3067, '07-DEC-11', 834, 133.9, 83936);
INSERT INTO LGINVOICE VALUES (3068, '07-DEC-11', 332, 64.13, 84306);
INSERT INTO LGINVOICE VALUES (3069, '07-DEC-11', 1279, 58.95, 83734);
INSERT INTO LGINVOICE VALUES (3070, '07-DEC-11', 303, 572.25, 84021);
INSERT INTO LGINVOICE VALUES (3072, '08-DEC-11', 1281, 163.55, 83763);
INSERT INTO LGINVOICE VALUES (3073, '08-DEC-11', 1234, 96.89, 84191);
INSERT INTO LGINVOICE VALUES (3074, '08-DEC-11', 1282, 186.06, 83936);
INSERT INTO LGINVOICE VALUES (3075, '08-DEC-11', 444, 229.28, 84163);
INSERT INTO LGINVOICE VALUES (3076, '08-DEC-11', 815, 9.87, 83677);
INSERT INTO LGINVOICE VALUES (3078, '08-DEC-11', 212, 184.29, 84163);
INSERT INTO LGINVOICE VALUES (3079, '08-DEC-11', 1283, 15.59, 84219);
INSERT INTO LGINVOICE VALUES (3081, '09-DEC-11', 1041, 75.14, 84049);
INSERT INTO LGINVOICE VALUES (3082, '09-DEC-11', 1284, 160.87, 84219);
INSERT INTO LGINVOICE VALUES (3084, '09-DEC-11', 1119, 77.93, 83677);
INSERT INTO LGINVOICE VALUES (3087, '09-DEC-11', 462, 193.54, 84134);
INSERT INTO LGINVOICE VALUES (3088, '09-DEC-11', 442, 181.48, 84021);
INSERT INTO LGINVOICE VALUES (3090, '09-DEC-11', 919, 114.29, 84163);
INSERT INTO LGINVOICE VALUES (3091, '09-DEC-11', 1112, 119.11, 84134);
INSERT INTO LGINVOICE VALUES (3093, '10-DEC-11', 741, 226.27, 83878);
INSERT INTO LGINVOICE VALUES (3096, '10-DEC-11', 904, 147.93, 84248);
INSERT INTO LGINVOICE VALUES (3097, '10-DEC-11', 1283, 213.12, 83621);
INSERT INTO LGINVOICE VALUES (3099, '10-DEC-11', 274, 177.52, 83734);
INSERT INTO LGINVOICE VALUES (3100, '10-DEC-11', 445, 239.51, 83677);
INSERT INTO LGINVOICE VALUES (3102, '10-DEC-11', 1290, 275, 84191);
INSERT INTO LGINVOICE VALUES (3105, '11-DEC-11', 350, 219.98, 84306);
INSERT INTO LGINVOICE VALUES (3106, '11-DEC-11', 178, 87.55, 84078);
INSERT INTO LGINVOICE VALUES (3107, '11-DEC-11', 1293, 423.08, 84049);
INSERT INTO LGINVOICE VALUES (3109, '11-DEC-11', 882, 228.65, 84364);
INSERT INTO LGINVOICE VALUES (3110, '11-DEC-11', 1294, 223.39, 83906);
INSERT INTO LGINVOICE VALUES (3113, '11-DEC-11', 1297, 47.96, 84248);
INSERT INTO LGINVOICE VALUES (3115, '12-DEC-11', 555, 124.29, 84219);
INSERT INTO LGINVOICE VALUES (3116, '12-DEC-11', 1279, 60.53, 84191);
INSERT INTO LGINVOICE VALUES (3118, '12-DEC-11', 834, 116.28, 84219);
INSERT INTO LGINVOICE VALUES (3119, '12-DEC-11', 925, 208.85, 83906);
INSERT INTO LGINVOICE VALUES (3122, '12-DEC-11', 1300, 47.98, 83649);
INSERT INTO LGINVOICE VALUES (3124, '12-DEC-11', 892, 328.73, 84106);
INSERT INTO LGINVOICE VALUES (3125, '12-DEC-11', 1301, 67.13, 83906);
INSERT INTO LGINVOICE VALUES (3127, '13-DEC-11', 1302, 254.07, 83593);
INSERT INTO LGINVOICE VALUES (3128, '13-DEC-11', 1303, 254.63, 84306);
INSERT INTO LGINVOICE VALUES (3131, '13-DEC-11', 473, 150.98, 83878);
INSERT INTO LGINVOICE VALUES (3132, '13-DEC-11', 1304, 282.09, 83820);
INSERT INTO LGINVOICE VALUES (3134, '13-DEC-11', 1306, 137.12, 84078);
INSERT INTO LGINVOICE VALUES (3135, '14-DEC-11', 1307, 25.37, 83649);
INSERT INTO LGINVOICE VALUES (3138, '14-DEC-11', 1304, 253.68, 84420);
INSERT INTO LGINVOICE VALUES (3140, '14-DEC-11', 1309, 229.89, 83593);
INSERT INTO LGINVOICE VALUES (3141, '14-DEC-11', 1310, 396.32, 83537);
INSERT INTO LGINVOICE VALUES (3143, '14-DEC-11', 1311, 385.39, 83763);
INSERT INTO LGINVOICE VALUES (3144, '15-DEC-11', 1312, 277.83, 83565);
INSERT INTO LGINVOICE VALUES (3147, '15-DEC-11', 1314, 259.44, 84219);
INSERT INTO LGINVOICE VALUES (3149, '15-DEC-11', 1316, 173.78, 84106);
INSERT INTO LGINVOICE VALUES (3150, '15-DEC-11', 1269, 439, 83705);
INSERT INTO LGINVOICE VALUES (3152, '15-DEC-11', 899, 62.33, 84049);
INSERT INTO LGINVOICE VALUES (3153, '15-DEC-11', 744, 196.19, 84306);
INSERT INTO LGINVOICE VALUES (3156, '16-DEC-11', 1319, 197.22, 83792);
INSERT INTO LGINVOICE VALUES (3157, '16-DEC-11', 862, 264.21, 83537);
INSERT INTO LGINVOICE VALUES (3159, '16-DEC-11', 1282, 246.62, 83792);
INSERT INTO LGINVOICE VALUES (3160, '16-DEC-11', 1320, 40.77, 83565);
INSERT INTO LGINVOICE VALUES (3162, '16-DEC-11', 579, 249.88, 83509);
INSERT INTO LGINVOICE VALUES (3164, '16-DEC-11', 1322, 396.83, 83878);
INSERT INTO LGINVOICE VALUES (3165, '16-DEC-11', 557, 167.2, 83593);
INSERT INTO LGINVOICE VALUES (3166, '17-DEC-11', 456, 173.92, 83964);
INSERT INTO LGINVOICE VALUES (3168, '17-DEC-11', 1324, 41.67, 83734);
INSERT INTO LGINVOICE VALUES (3169, '17-DEC-11', 887, 135.08, 83649);
INSERT INTO LGINVOICE VALUES (3170, '17-DEC-11', 1325, 159.94, 83537);
INSERT INTO LGINVOICE VALUES (3171, '17-DEC-11', 1236, 409.45, 84276);
INSERT INTO LGINVOICE VALUES (3172, '17-DEC-11', 1326, 292.65, 83964);
INSERT INTO LGINVOICE VALUES (3174, '18-DEC-11', 181, 229.91, 84191);
INSERT INTO LGINVOICE VALUES (3175, '18-DEC-11', 441, 54.36, 84134);
INSERT INTO LGINVOICE VALUES (3176, '18-DEC-11', 1328, 74.94, 83820);
INSERT INTO LGINVOICE VALUES (3177, '18-DEC-11', 1329, 298.52, 84078);
INSERT INTO LGINVOICE VALUES (3178, '18-DEC-11', 895, 87.96, 84106);
INSERT INTO LGINVOICE VALUES (3180, '18-DEC-11', 860, 398.04, 83593);
INSERT INTO LGINVOICE VALUES (3181, '18-DEC-11', 1330, 178.39, 83964);
INSERT INTO LGINVOICE VALUES (3182, '18-DEC-11', 436, 17.98, 84021);
INSERT INTO LGINVOICE VALUES (3183, '18-DEC-11', 1331, 381.93, 83936);
INSERT INTO LGINVOICE VALUES (3184, '18-DEC-11', 1009, 250.57, 83565);
INSERT INTO LGINVOICE VALUES (3186, '19-DEC-11', 1332, 88.75, 83734);
INSERT INTO LGINVOICE VALUES (3187, '19-DEC-11', 1172, 193.9, 84078);
INSERT INTO LGINVOICE VALUES (3188, '19-DEC-11', 1333, 126.53, 83964);
INSERT INTO LGINVOICE VALUES (3189, '19-DEC-11', 458, 224.52, 84049);
INSERT INTO LGINVOICE VALUES (3190, '19-DEC-11', 1205, 405.31, 83906);
INSERT INTO LGINVOICE VALUES (3192, '19-DEC-11', 1335, 427.18, 83537);
INSERT INTO LGINVOICE VALUES (3193, '19-DEC-11', 1336, 269.88, 84420);
INSERT INTO LGINVOICE VALUES (3194, '19-DEC-11', 1113, 161.12, 84106);
INSERT INTO LGINVOICE VALUES (3195, '20-DEC-11', 928, 351.61, 83964);
INSERT INTO LGINVOICE VALUES (3196, '20-DEC-11', 163, 116.3, 83621);
INSERT INTO LGINVOICE VALUES (3198, '20-DEC-11', 1337, 155.96, 83964);
INSERT INTO LGINVOICE VALUES (3199, '20-DEC-11', 540, 116.55, 83792);
INSERT INTO LGINVOICE VALUES (3200, '20-DEC-11', 1338, 230.02, 83537);
INSERT INTO LGINVOICE VALUES (3201, '20-DEC-11', 1117, 517.22, 83964);
INSERT INTO LGINVOICE VALUES (3203, '21-DEC-11', 975, 121.02, 83850);
INSERT INTO LGINVOICE VALUES (3204, '21-DEC-11', 101, 53.37, 83964);
INSERT INTO LGINVOICE VALUES (3205, '21-DEC-11', 610, 115.01, 84364);
INSERT INTO LGINVOICE VALUES (3206, '21-DEC-11', 1138, 479.87, 83649);
INSERT INTO LGINVOICE VALUES (3207, '21-DEC-11', 570, 102.95, 84364);
INSERT INTO LGINVOICE VALUES (3209, '21-DEC-11', 1250, 217.93, 84248);
INSERT INTO LGINVOICE VALUES (3210, '21-DEC-11', 701, 272.27, 83850);
INSERT INTO LGINVOICE VALUES (3211, '22-DEC-11', 1339, 118.59, 83878);
INSERT INTO LGINVOICE VALUES (3212, '22-DEC-11', 196, 398.08, 83993);
INSERT INTO LGINVOICE VALUES (3213, '22-DEC-11', 311, 116.93, 83964);
INSERT INTO LGINVOICE VALUES (3215, '22-DEC-11', 789, 218.33, 83621);
INSERT INTO LGINVOICE VALUES (3216, '22-DEC-11', 700, 23.98, 84191);
INSERT INTO LGINVOICE VALUES (3217, '22-DEC-11', 1214, 172.05, 83734);
INSERT INTO LGINVOICE VALUES (3218, '22-DEC-11', 1341, 233.42, 83537);
INSERT INTO LGINVOICE VALUES (3219, '22-DEC-11', 434, 11.99, 84334);
INSERT INTO LGINVOICE VALUES (3221, '23-DEC-11', 233, 21.99, 84364);
INSERT INTO LGINVOICE VALUES (3222, '23-DEC-11', 1342, 79.45, 84191);
INSERT INTO LGINVOICE VALUES (3223, '23-DEC-11', 1343, 263.93, 83763);
INSERT INTO LGINVOICE VALUES (3224, '23-DEC-11', 585, 53.55, 83649);
INSERT INTO LGINVOICE VALUES (3225, '23-DEC-11', 352, 140.21, 84163);
INSERT INTO LGINVOICE VALUES (3227, '23-DEC-11', 983, 223.86, 84078);
INSERT INTO LGINVOICE VALUES (3228, '23-DEC-11', 1244, 192.31, 83878);
INSERT INTO LGINVOICE VALUES (3229, '23-DEC-11', 1247, 146.94, 83734);
INSERT INTO LGINVOICE VALUES (3230, '24-DEC-11', 1345, 355.53, 84420);
INSERT INTO LGINVOICE VALUES (3231, '24-DEC-11', 1002, 108.72, 83850);
INSERT INTO LGINVOICE VALUES (3233, '24-DEC-11', 1346, 283.32, 83763);
INSERT INTO LGINVOICE VALUES (3234, '24-DEC-11', 1347, 72.92, 84334);
INSERT INTO LGINVOICE VALUES (3235, '24-DEC-11', 812, 101.12, 84049);
INSERT INTO LGINVOICE VALUES (3236, '24-DEC-11', 1348, 268.52, 83906);
INSERT INTO LGINVOICE VALUES (3237, '24-DEC-11', 1087, 289.07, 84134);
INSERT INTO LGINVOICE VALUES (3239, '24-DEC-11', 1350, 275.46, 84021);
INSERT INTO LGINVOICE VALUES (3240, '25-DEC-11', 1351, 243.28, 84392);
INSERT INTO LGINVOICE VALUES (3241, '25-DEC-11', 204, 133.89, 84078);
INSERT INTO LGINVOICE VALUES (3242, '25-DEC-11', 1352, 218.68, 83537);
INSERT INTO LGINVOICE VALUES (3243, '25-DEC-11', 1353, 347.3, 83537);
INSERT INTO LGINVOICE VALUES (3245, '25-DEC-11', 355, 206.24, 83705);
INSERT INTO LGINVOICE VALUES (3246, '25-DEC-11', 840, 286.01, 84106);
INSERT INTO LGINVOICE VALUES (3247, '25-DEC-11', 1354, 43.98, 84248);
INSERT INTO LGINVOICE VALUES (3248, '25-DEC-11', 1355, 415.53, 83734);
INSERT INTO LGINVOICE VALUES (3250, '26-DEC-11', 1357, 81.95, 83878);
INSERT INTO LGINVOICE VALUES (3253, '26-DEC-11', 1358, 127.84, 83734);
INSERT INTO LGINVOICE VALUES (3254, '26-DEC-11', 1002, 201.03, 84049);
INSERT INTO LGINVOICE VALUES (3256, '26-DEC-11', 186, 353.71, 83705);
INSERT INTO LGINVOICE VALUES (3257, '26-DEC-11', 840, 312.85, 84392);
INSERT INTO LGINVOICE VALUES (3259, '27-DEC-11', 434, 48.34, 84306);
INSERT INTO LGINVOICE VALUES (3262, '27-DEC-11', 1361, 247.67, 83792);
INSERT INTO LGINVOICE VALUES (3263, '27-DEC-11', 357, 352.67, 84078);
INSERT INTO LGINVOICE VALUES (3265, '27-DEC-11', 1363, 382.02, 83763);
INSERT INTO LGINVOICE VALUES (3266, '27-DEC-11', 190, 173.89, 84420);
INSERT INTO LGINVOICE VALUES (3269, '28-DEC-11', 410, 68.04, 83705);
INSERT INTO LGINVOICE VALUES (3270, '28-DEC-11', 302, 128.53, 84134);
INSERT INTO LGINVOICE VALUES (3272, '28-DEC-11', 257, 129.96, 84306);
INSERT INTO LGINVOICE VALUES (3273, '28-DEC-11', 1030, 70.11, 83593);
INSERT INTO LGINVOICE VALUES (3275, '28-DEC-11', 337, 185.55, 84248);
INSERT INTO LGINVOICE VALUES (3278, '28-DEC-11', 1366, 137, 83593);
INSERT INTO LGINVOICE VALUES (3279, '28-DEC-11', 1367, 185.94, 83850);
INSERT INTO LGINVOICE VALUES (3281, '28-DEC-11', 1369, 44.97, 84191);
INSERT INTO LGINVOICE VALUES (3282, '29-DEC-11', 1370, 189.94, 83906);
INSERT INTO LGINVOICE VALUES (3284, '29-DEC-11', 1371, 210.87, 83964);
INSERT INTO LGINVOICE VALUES (3286, '29-DEC-11', 1097, 238.63, 83993);
INSERT INTO LGINVOICE VALUES (3288, '29-DEC-11', 1353, 77.98, 83763);
INSERT INTO LGINVOICE VALUES (3289, '29-DEC-11', 304, 376.32, 84334);
INSERT INTO LGINVOICE VALUES (3291, '30-DEC-11', 1372, 206.58, 84078);
INSERT INTO LGINVOICE VALUES (3292, '30-DEC-11', 1060, 340.27, 84276);
INSERT INTO LGINVOICE VALUES (3295, '30-DEC-11', 342, 100.02, 83565);
INSERT INTO LGINVOICE VALUES (3297, '30-DEC-11', 1375, 335.7, 83537);
INSERT INTO LGINVOICE VALUES (3298, '30-DEC-11', 1376, 23.18, 83537);
INSERT INTO LGINVOICE VALUES (3300, '31-DEC-11', 1377, 226.82, 83906);
INSERT INTO LGINVOICE VALUES (3301, '31-DEC-11', 97, 494.22, 83850);
INSERT INTO LGINVOICE VALUES (3304, '31-DEC-11', 1378, 272.88, 84248);
INSERT INTO LGINVOICE VALUES (3306, '31-DEC-11', 1380, 244.63, 84078);
INSERT INTO LGINVOICE VALUES (3307, '31-DEC-11', 609, 236.5, 84134);
INSERT INTO LGINVOICE VALUES (3309, '01-JAN-12', 460, 357.03, 84106);
INSERT INTO LGINVOICE VALUES (3310, '01-JAN-12', 1382, 136.4, 84021);
INSERT INTO LGINVOICE VALUES (3313, '01-JAN-12', 1384, 192.72, 83906);
INSERT INTO LGINVOICE VALUES (3315, '01-JAN-12', 516, 232.2, 84134);
INSERT INTO LGINVOICE VALUES (3316, '01-JAN-12', 833, 189.94, 84163);
INSERT INTO LGINVOICE VALUES (3318, '01-JAN-12', 593, 283.56, 84392);
INSERT INTO LGINVOICE VALUES (3319, '01-JAN-12', 1387, 19.95, 83850);
INSERT INTO LGINVOICE VALUES (3322, '02-JAN-12', 539, 569.19, 84078);
INSERT INTO LGINVOICE VALUES (3324, '02-JAN-12', 1126, 348.6, 84392);
INSERT INTO LGINVOICE VALUES (3325, '02-JAN-12', 1391, 499.96, 84334);
INSERT INTO LGINVOICE VALUES (3327, '02-JAN-12', 1393, 249.78, 84219);
INSERT INTO LGINVOICE VALUES (3328, '02-JAN-12', 504, 77.98, 83621);
INSERT INTO LGINVOICE VALUES (3331, '02-JAN-12', 360, 131.96, 84049);
INSERT INTO LGINVOICE VALUES (3333, '02-JAN-12', 996, 27.18, 84049);
INSERT INTO LGINVOICE VALUES (3334, '03-JAN-12', 1396, 155.41, 83964);
INSERT INTO LGINVOICE VALUES (3335, '03-JAN-12', 1115, 330.22, 83705);
INSERT INTO LGINVOICE VALUES (3336, '03-JAN-12', 1397, 23.59, 83565);
INSERT INTO LGINVOICE VALUES (3337, '03-JAN-12', 337, 346.88, 83565);
INSERT INTO LGINVOICE VALUES (3339, '03-JAN-12', 1223, 250.32, 83649);
INSERT INTO LGINVOICE VALUES (3340, '03-JAN-12', 205, 220.86, 83734);
INSERT INTO LGINVOICE VALUES (3341, '03-JAN-12', 97, 12.99, 83565);
INSERT INTO LGINVOICE VALUES (3342, '03-JAN-12', 758, 394.67, 83509);
INSERT INTO LGINVOICE VALUES (3343, '04-JAN-12', 1121, 153.15, 84420);
INSERT INTO LGINVOICE VALUES (3345, '04-JAN-12', 1319, 71.97, 83734);
INSERT INTO LGINVOICE VALUES (3346, '04-JAN-12', 1399, 145.36, 83792);
INSERT INTO LGINVOICE VALUES (3347, '04-JAN-12', 1400, 195.47, 84021);
INSERT INTO LGINVOICE VALUES (3348, '04-JAN-12', 215, 245.21, 84049);
INSERT INTO LGINVOICE VALUES (3349, '04-JAN-12', 292, 372.67, 83677);
INSERT INTO LGINVOICE VALUES (3351, '05-JAN-12', 1047, 256.28, 83593);
INSERT INTO LGINVOICE VALUES (3352, '05-JAN-12', 790, 19.99, 83964);
INSERT INTO LGINVOICE VALUES (3353, '05-JAN-12', 1403, 237.65, 84106);
INSERT INTO LGINVOICE VALUES (3354, '05-JAN-12', 1404, 107.95, 83850);
INSERT INTO LGINVOICE VALUES (3355, '05-JAN-12', 1405, 26.36, 83850);
INSERT INTO LGINVOICE VALUES (3357, '05-JAN-12', 862, 13.59, 83763);
INSERT INTO LGINVOICE VALUES (3358, '05-JAN-12', 1406, 37.98, 84306);
INSERT INTO LGINVOICE VALUES (3359, '05-JAN-12', 353, 362.07, 84334);
INSERT INTO LGINVOICE VALUES (3360, '06-JAN-12', 1407, 387.93, 83792);
INSERT INTO LGINVOICE VALUES (3361, '06-JAN-12', 1408, 90.36, 84191);
INSERT INTO LGINVOICE VALUES (3363, '06-JAN-12', 1409, 506.3, 83906);
INSERT INTO LGINVOICE VALUES (3364, '06-JAN-12', 1410, 72.94, 83734);
INSERT INTO LGINVOICE VALUES (3365, '06-JAN-12', 780, 243.05, 83565);
INSERT INTO LGINVOICE VALUES (3366, '06-JAN-12', 1326, 169.38, 84306);
INSERT INTO LGINVOICE VALUES (3367, '07-JAN-12', 215, 579.64, 84248);
INSERT INTO LGINVOICE VALUES (3369, '07-JAN-12', 1413, 171.36, 83850);
INSERT INTO LGINVOICE VALUES (3370, '07-JAN-12', 928, 129.93, 84248);
INSERT INTO LGINVOICE VALUES (3371, '07-JAN-12', 1157, 186.29, 84392);
INSERT INTO LGINVOICE VALUES (3372, '07-JAN-12', 1414, 269.66, 84334);
INSERT INTO LGINVOICE VALUES (3373, '07-JAN-12', 1415, 199.92, 84420);
INSERT INTO LGINVOICE VALUES (3375, '07-JAN-12', 1352, 253.13, 83993);
INSERT INTO LGINVOICE VALUES (3376, '07-JAN-12', 1416, 32.97, 84191);
INSERT INTO LGINVOICE VALUES (3377, '08-JAN-12', 1417, 108.72, 84364);
INSERT INTO LGINVOICE VALUES (3378, '08-JAN-12', 648, 266.02, 84078);
INSERT INTO LGINVOICE VALUES (3379, '08-JAN-12', 537, 191.33, 83993);
INSERT INTO LGINVOICE VALUES (3381, '08-JAN-12', 118, 143.3, 83705);
INSERT INTO LGINVOICE VALUES (3382, '08-JAN-12', 1002, 341.48, 84276);
INSERT INTO LGINVOICE VALUES (3383, '08-JAN-12', 1248, 371.62, 84078);
INSERT INTO LGINVOICE VALUES (3384, '08-JAN-12', 1418, 102.84, 84078);
INSERT INTO LGINVOICE VALUES (3385, '09-JAN-12', 1419, 81.47, 83964);
INSERT INTO LGINVOICE VALUES (3387, '09-JAN-12', 1421, 255.87, 83537);
INSERT INTO LGINVOICE VALUES (3388, '09-JAN-12', 1095, 145.18, 84306);
INSERT INTO LGINVOICE VALUES (3389, '09-JAN-12', 1422, 280.23, 83850);
INSERT INTO LGINVOICE VALUES (3390, '09-JAN-12', 1423, 386.8, 83649);
INSERT INTO LGINVOICE VALUES (3391, '09-JAN-12', 1031, 86.36, 83850);
INSERT INTO LGINVOICE VALUES (3393, '09-JAN-12', 1424, 43.36, 84276);
INSERT INTO LGINVOICE VALUES (3394, '09-JAN-12', 1425, 99.9, 84049);
INSERT INTO LGINVOICE VALUES (3395, '10-JAN-12', 1426, 21.99, 83964);
INSERT INTO LGINVOICE VALUES (3396, '10-JAN-12', 1427, 27.98, 83621);
INSERT INTO LGINVOICE VALUES (3397, '10-JAN-12', 1031, 205.94, 84306);
INSERT INTO LGINVOICE VALUES (3399, '10-JAN-12', 117, 483.05, 84276);
INSERT INTO LGINVOICE VALUES (3400, '10-JAN-12', 1428, 111.28, 84078);
INSERT INTO LGINVOICE VALUES (3401, '10-JAN-12', 1429, 301.85, 83649);
INSERT INTO LGINVOICE VALUES (3402, '10-JAN-12', 921, 167.41, 83993);
INSERT INTO LGINVOICE VALUES (3403, '10-JAN-12', 1033, 316.83, 83964);
INSERT INTO LGINVOICE VALUES (3405, '11-JAN-12', 1430, 337.1, 84219);
INSERT INTO LGINVOICE VALUES (3406, '11-JAN-12', 493, 178.29, 84078);
INSERT INTO LGINVOICE VALUES (3407, '11-JAN-12', 799, 183.89, 83734);
INSERT INTO LGINVOICE VALUES (3408, '11-JAN-12', 743, 51.96, 84078);
INSERT INTO LGINVOICE VALUES (3409, '11-JAN-12', 797, 400.62, 83509);
INSERT INTO LGINVOICE VALUES (3411, '11-JAN-12', 1431, 212.92, 83792);
INSERT INTO LGINVOICE VALUES (3412, '11-JAN-12', 1352, 493.14, 83964);
INSERT INTO LGINVOICE VALUES (3413, '12-JAN-12', 89, 314.25, 84191);
INSERT INTO LGINVOICE VALUES (3414, '12-JAN-12', 140, 97.93, 83993);
INSERT INTO LGINVOICE VALUES (3416, '12-JAN-12', 1433, 168.51, 83734);
INSERT INTO LGINVOICE VALUES (3417, '12-JAN-12', 235, 27.98, 83734);
INSERT INTO LGINVOICE VALUES (3418, '12-JAN-12', 1137, 205.73, 83936);
INSERT INTO LGINVOICE VALUES (3419, '12-JAN-12', 1434, 112.02, 83649);
INSERT INTO LGINVOICE VALUES (3420, '13-JAN-12', 287, 344.28, 83906);
INSERT INTO LGINVOICE VALUES (3422, '13-JAN-12', 1436, 278.66, 83677);
INSERT INTO LGINVOICE VALUES (3423, '13-JAN-12', 429, 236.59, 83763);
INSERT INTO LGINVOICE VALUES (3424, '13-JAN-12', 383, 25.18, 83705);
INSERT INTO LGINVOICE VALUES (3425, '13-JAN-12', 1101, 220.7, 83878);
INSERT INTO LGINVOICE VALUES (3427, '13-JAN-12', 724, 496.58, 83537);
INSERT INTO LGINVOICE VALUES (3430, '14-JAN-12', 852, 109.73, 83850);
INSERT INTO LGINVOICE VALUES (3431, '14-JAN-12', 1437, 116.32, 83850);
INSERT INTO LGINVOICE VALUES (3433, '14-JAN-12', 1131, 237.93, 83649);
INSERT INTO LGINVOICE VALUES (3434, '14-JAN-12', 1439, 71.98, 83537);
INSERT INTO LGINVOICE VALUES (3436, '15-JAN-12', 1440, 377.51, 84420);
INSERT INTO LGINVOICE VALUES (3439, '15-JAN-12', 665, 189.91, 83734);
INSERT INTO LGINVOICE VALUES (3440, '15-JAN-12', 687, 175.29, 83993);
INSERT INTO LGINVOICE VALUES (3442, '15-JAN-12', 1260, 113.94, 83850);
INSERT INTO LGINVOICE VALUES (3443, '15-JAN-12', 962, 262.81, 83878);
INSERT INTO LGINVOICE VALUES (3445, '15-JAN-12', 368, 27.95, 84134);
INSERT INTO LGINVOICE VALUES (3448, '16-JAN-12', 1444, 164.12, 83593);
INSERT INTO LGINVOICE VALUES (3449, '16-JAN-12', 544, 61.83, 83565);
